,name,author,rating,year,genre
76,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,2009,Non Fiction
77,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,2011,Non Fiction
78,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,2009,Fiction
79,Eclipse (Twilight),Stephenie Meyer,4.7,2009,Fiction
80,Educated: A Memoir,Tara Westover,4.7,2018,Non Fiction
81,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,2015,Non Fiction
82,Fahrenheit 451,Ray Bradbury,4.6,2016,Fiction
83,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,2016,Fiction
84,Fear: Trump in the White House,Bob Woodward,4.4,2018,Non Fiction
85,Fifty Shades Darker,E L James,4.4,2012,Fiction
86,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,2012,Fiction
87,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,2012,Fiction
88,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,2012,Fiction
89,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,2018,Non Fiction
90,First 100 Words,Roger Priddy,4.7,2014,Non Fiction
91,Food Rules: An Eater's Manual,Michael Pollan,4.4,2010,Non Fiction
92,Frozen (Little Golden Book),RH Disney,4.7,2014,Fiction
93,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,2010,Non Fiction
94,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,2011,Fiction
95,George Washington's Sacred Fire,Peter A. Lillback,4.5,2010,Non Fiction
96,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,2013,Non Fiction
97,Giraffes Can't Dance,Giles Andreae,4.8,2015,Childrens
98,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,2019,Non Fiction
99,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,2018,Non Fiction
100,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,2009,Non Fiction
101,Go Set a Watchman: A Novel,Harper Lee,3.6,2015,Fiction
102,Go the F**k to Sleep,Adam Mansbach,4.8,2011,Fiction
103,Going Rogue: An American Life,Sarah Palin,4.6,2009,Non Fiction
104,Gone Girl,Gillian Flynn,4.0,2012,Fiction
105,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,2019,Non Fiction
106,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,2009,Non Fiction
107,Goodnight Moon,Margaret Wise Brown,4.8,2017,Fiction
108,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,2012,Childrens
109,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,2014,Non Fiction
110,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,2015,Fiction
111,Guts,Raina Telgemeier,4.8,2019,Non Fiction
112,Hamilton: The Revolution,Lin-Manuel Miranda,4.9,2016,Non Fiction
113,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,2013,Non Fiction
114,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,2016,Fiction
115,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,2016,Fiction
116,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,2019,Fiction
